batch,accuracy,f1,auc
546,1.0,1.0,1.0
547,0.88,0.896551724137931,0.9188311688311688
548,0.92,0.9166666666666666,0.9743589743589743
549,0.92,0.9166666666666666,1.0
550,1.0,1.0,1.0
551,1.0,1.0,1.0
552,0.96,0.96,1.0
553,1.0,1.0,1.0
554,0.92,0.8888888888888888,0.9866666666666667
555,0.92,0.9166666666666666,0.9583333333333334
556,0.96,0.9655172413793104,0.9512987012987013
557,0.96,0.9411764705882353,1.0
558,0.96,0.9523809523809523,1.0
559,0.96,0.9523809523809523,1.0
560,1.0,1.0,1.0
561,0.92,0.9285714285714286,0.9448051948051948
562,1.0,1.0,1.0
563,1.0,1.0,1.0
564,1.0,1.0,1.0
565,0.96,0.9411764705882353,0.9791666666666666
566,0.88,0.8695652173913043,0.9551282051282052
567,1.0,1.0,1.0
568,0.88,0.88,0.9487179487179487
569,1.0,1.0,1.0
570,1.0,1.0,1.0
571,1.0,1.0,1.0
572,1.0,1.0,1.0
573,1.0,1.0,1.0
574,0.92,0.875,0.9603174603174602
575,0.92,0.9090909090909091,0.9807692307692307
576,1.0,1.0,1.0
577,0.88,0.7692307692307693,0.9411764705882353
578,1.0,1.0,1.0
579,0.96,0.9473684210526315,1.0
580,0.96,0.9473684210526315,1.0
581,0.96,0.9655172413793104,1.0
582,0.96,0.9565217391304348,0.9615384615384615
583,0.96,0.9523809523809523,0.9935064935064936
584,1.0,1.0,1.0
585,0.92,0.9090909090909091,0.9870129870129871
586,1.0,1.0,1.0
587,1.0,1.0,1.0
588,0.96,0.9473684210526315,0.9652777777777778
589,1.0,1.0,1.0
590,0.88,0.8571428571428571,0.967948717948718
591,0.96,0.9565217391304348,0.961038961038961
592,0.96,0.967741935483871,0.9861111111111112
593,0.96,0.967741935483871,1.0
594,0.96,0.9565217391304348,1.0
595,0.96,0.9411764705882353,0.9791666666666666
596,0.96,0.9523809523809523,0.9933333333333334
597,0.88,0.88,1.0
598,1.0,1.0,1.0
599,1.0,1.0,1.0
600,0.96,0.8888888888888888,0.99
601,0.96,0.9473684210526315,1.0
602,1.0,1.0,1.0
603,0.92,0.9473684210526315,1.0
604,1.0,1.0,1.0
605,0.96,0.9333333333333333,0.9779411764705882
606,0.96,0.9523809523809523,1.0
607,0.96,0.9655172413793104,1.0
608,1.0,1.0,1.0
609,0.96,0.9655172413793104,1.0
610,0.96,0.9473684210526315,1.0
611,1.0,1.0,1.0
612,0.92,0.9,0.9930555555555556
613,0.96,0.9411764705882353,1.0
614,1.0,1.0,1.0
615,1.0,1.0,1.0
616,0.92,0.9166666666666666,0.8846153846153846
617,0.96,0.9473684210526315,0.9866666666666667
618,0.96,0.9473684210526315,0.9930555555555556
619,1.0,1.0,1.0
620,1.0,1.0,1.0
621,1.0,1.0,1.0
622,0.92,0.875,0.9097222222222222
623,0.96,0.9523809523809523,0.9805194805194805
624,1.0,1.0,1.0
625,1.0,1.0,1.0
626,0.96,0.9655172413793104,1.0
627,1.0,1.0,1.0
628,0.96,0.9473684210526315,0.9652777777777778
629,1.0,1.0,1.0
630,0.92,0.9,0.9933333333333334
631,0.88,0.8695652173913043,1.0
632,0.92,0.9,0.9633333333333334
633,1.0,1.0,1.0
634,0.96,0.9333333333333333,1.0
635,1.0,1.0,1.0
636,1.0,1.0,1.0
637,0.88,0.8235294117647058,0.9779411764705882
638,1.0,1.0,1.0
639,0.96,0.9473684210526315,0.9866666666666667
640,1.0,1.0,1.0
641,0.96,0.9333333333333333,1.0
642,1.0,1.0,1.0
643,0.96,0.9411764705882353,0.9861111111111112
644,1.0,1.0,1.0
645,0.96,0.9523809523809523,0.9935064935064936
646,1.0,1.0,1.0
647,1.0,1.0,1.0
648,0.96,0.96,0.9871794871794872
649,1.0,1.0,1.0
650,1.0,1.0,1.0
651,0.96,0.9411764705882353,0.9791666666666666
652,1.0,1.0,1.0
653,1.0,1.0,1.0
654,0.88,0.88,0.967948717948718
655,0.96,0.9523809523809523,0.9805194805194805
656,0.88,0.8888888888888888,0.9807692307692308
657,1.0,1.0,1.0
658,1.0,1.0,1.0
659,1.0,1.0,1.0
660,0.96,0.9473684210526315,1.0
661,0.92,0.8888888888888888,0.9669117647058824
662,1.0,1.0,1.0
663,1.0,1.0,1.0
664,1.0,1.0,1.0
665,1.0,1.0,1.0
666,1.0,1.0,1.0
667,0.96,0.96,0.9935897435897436
668,0.96,0.9629629629629629,0.9551282051282051
669,0.96,0.9565217391304348,1.0
670,1.0,1.0,1.0
671,0.96,0.9523809523809523,1.0
672,0.96,0.96,0.9423076923076923
673,0.96,0.9523809523809523,1.0
674,0.92,0.8888888888888888,0.9705882352941176
675,1.0,1.0,1.0
676,0.96,0.9565217391304348,1.0
677,1.0,1.0,1.0
678,1.0,1.0,1.0
679,1.0,1.0,1.0
680,0.96,0.9090909090909091,0.9649122807017544
681,1.0,1.0,1.0
682,1.0,1.0,1.0
683,1.0,1.0,1.0
684,0.88,0.8421052631578947,0.9583333333333334
685,0.96,0.9523809523809523,0.9805194805194805
686,1.0,1.0,1.0
687,0.96,0.9565217391304348,0.9935897435897436
688,0.96,0.9629629629629629,0.9935064935064934
689,0.88,0.8695652173913043,0.9807692307692308
690,1.0,1.0,1.0
691,1.0,1.0,1.0
692,0.96,0.9523809523809523,1.0
693,1.0,1.0,1.0
694,0.96,0.9473684210526315,0.9933333333333334
695,0.96,0.9411764705882353,0.9632352941176471
696,0.96,0.9523809523809523,0.9870129870129871
697,1.0,1.0,1.0
698,0.96,0.9523809523809523,1.0
699,0.96,0.9411764705882353,0.9930555555555556
700,0.96,0.9629629629629629,1.0
701,1.0,1.0,1.0
702,0.92,0.9230769230769231,0.9935897435897436
703,1.0,1.0,1.0
704,0.96,0.9629629629629629,1.0
705,0.96,0.9333333333333333,1.0
706,0.96,0.9523809523809523,0.9610389610389609
707,0.96,0.9565217391304348,0.987012987012987
708,0.96,0.96,1.0
709,0.96,0.96,0.9935897435897436
710,0.92,0.9090909090909091,0.967948717948718
711,0.96,0.9523809523809523,0.9866666666666667
712,0.96,0.9473684210526315,1.0
713,0.92,0.9090909090909091,0.9743589743589743
714,1.0,1.0,1.0
715,0.92,0.8888888888888888,0.9861111111111112
716,0.96,0.9523809523809523,0.9805194805194805
717,0.92,0.8571428571428571,0.9603174603174602
718,1.0,1.0,1.0
719,0.96,0.9411764705882353,0.9632352941176471
720,1.0,1.0,1.0
721,1.0,1.0,1.0
722,0.96,0.9473684210526315,0.9933333333333334
723,0.92,0.8571428571428571,0.9926470588235294
724,1.0,1.0,1.0
725,0.96,0.9473684210526315,0.9618055555555556
726,0.92,0.9166666666666666,0.9935897435897436
727,1.0,1.0,1.0
728,1.0,1.0,1.0
729,1.0,1.0,1.0
730,0.96,0.96,0.9807692307692308
731,1.0,1.0,1.0
732,0.96,0.96,0.9551282051282052
733,0.96,0.9565217391304348,0.9935897435897436
734,0.96,0.9411764705882353,0.9930555555555556
735,0.92,0.8888888888888888,0.9669117647058824
736,0.96,0.8888888888888888,0.99
737,0.92,0.875,1.0
738,0.96,0.9333333333333333,1.0
739,0.96,0.96,0.9583333333333334
740,1.0,1.0,1.0
741,1.0,1.0,1.0
742,1.0,1.0,1.0
743,0.92,0.9333333333333333,1.0
744,0.88,0.8235294117647058,0.9652777777777778
745,0.88,0.9090909090909091,0.9117647058823529
746,0.96,0.9333333333333333,0.9779411764705882
747,0.96,0.9523809523809523,1.0
748,0.96,0.9473684210526315,1.0
749,0.96,0.9473684210526315,0.9800000000000001
750,1.0,1.0,1.0
